日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-09-20,阪神,2,2歳未勝利,2歳未勝利,,2000,芝,良,曇,ネッタイヤライ,古川奈穂,牡2,52.0,7,2,2.2,4,2:00.7,37.2,1.0,434,-4,840000,,矢作芳人,キンシャサノキセキ,中央,条件・未勝利
2025-09-20,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,曇,マリノエステーラ,池添謙一,牝2,55.0,14,8,36.0,11,1:37.1,34.7,2.0,452,初出走,0,,中竹和也,First Samurai,中央,条件・未勝利
2025-09-20,阪神,8,野路菊S,2歳OP,,1600,芝,良,曇,スウィッチインラヴ,坂井瑠星,牝2,55.0,6,2,2.4,2,1:34.1,34.5,0.6,442,0,6440000,100,矢作芳人,Galileo,中央,オープン
2025-09-21,阪神,2,2歳未勝利,2歳未勝利,,1600,芝,良,晴,ビッグヒーロー,川田将雅,牡2,55.0,13,1,3.1,3,1:34.1,35.2,0.3,476,-4,1400000,,福永祐一,Tale of Ekati,中央,条件・未勝利
2025-09-21,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,良,晴,コスモフィレンツェ,和田竜二,牡2,55.0,9,1,2.3,2,1:47.3,34.2,0.1,488,初出走,3000000,,北出成人,Nathaniel,中央,条件・未勝利
2025-09-27,阪神,5,メイクデビュー阪神,2歳新馬,,2000,芝,良,晴,フリーガー,坂井瑠星,牡2,55.0,11,3,5.8,1,2:01.5,35.3,0.0,446,初出走,7500000,,矢作芳人,Ghostzapper,中央,条件・未勝利
2025-09-27,阪神,5,メイクデビュー阪神,2歳新馬,,2000,芝,良,晴,アスピラシオン,岩田望来,牡2,55.0,11,6,21.1,6,2:03.0,36.6,1.5,488,初出走,0,,上村洋行,Van Nistelrooy,中央,条件・未勝利
2025-09-28,中山,3,2歳未勝利,2歳未勝利,,2000,芝,良,晴,エーデルゼーレ,J.モレイラ,牡2,55.0,16,2,3.4,2,2:01.1,33.9,0.4,462,-4,2200000,,堀宣行,Curlin,中央,条件・未勝利
2025-10-04,京都,2,2歳未勝利,2歳未勝利,,2000,芝,稍重,雨,ウィズクィーン,岩田望来,牝2,55.0,8,3,7.2,1,2:02.9,34.3,-0.4,424,-2,5600000,,上村洋行,ロードカナロア,中央,条件・未勝利
2025-10-04,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,重,小雨,エアヴァイブス,武豊,牝2,55.0,14,4,5.8,10,2:04.2,36.5,1.9,446,初出走,0,,福永祐一,ハービンジャー,中央,条件・未勝利
